timestamp,open,close,high,low,volume
2020-07-08T13:00:00-04:00,8.100,8.100,8.100,8.100,192
2020-07-08T13:05:00-04:00,8.085,8.085,8.085,8.085,100
2020-07-08T13:10:00-04:00,8.070,8.070,8.070,8.070,159
2020-07-08T13:15:00-04:00,8.050,8.050,8.050,8.050,100
2020-07-08T13:20:00-04:00,8.050,8.050,8.050,8.050,192
2020-07-08T13:25:00-04:00,7.910,7.990,7.990,7.910,500
2020-07-08T13:30:00-04:00,8.070,8.070,8.070,8.070,100
2020-07-08T13:40:00-04:00,8.040,7.930,8.040,7.930,200
2020-07-08T13:50:00-04:00,7.910,7.920,7.920,7.910,200
2020-07-08T14:00:00-04:00,7.810,7.810,7.810,7.810,200
2020-07-08T14:05:00-04:00,7.870,7.850,7.870,7.845,1100
2020-07-08T14:10:00-04:00,7.850,7.880,7.880,7.850,300
2020-07-08T14:15:00-04:00,7.750,7.730,7.760,7.730,1400
2020-07-08T14:25:00-04:00,7.770,7.740,7.770,7.730,800
2020-07-08T14:30:00-04:00,7.710,7.680,7.750,7.680,2109
2020-07-08T14:35:00-04:00,7.680,7.480,7.680,7.480,690
2020-07-08T14:40:00-04:00,7.545,7.580,7.580,7.530,500
2020-07-08T14:45:00-04:00,7.560,7.660,7.660,7.540,1700
2020-07-08T14:50:00-04:00,7.650,7.620,7.650,7.620,400
2020-07-08T14:55:00-04:00,7.650,7.615,7.680,7.580,1100
2020-07-08T15:00:00-04:00,7.720,7.840,7.840,7.720,1359
2020-07-08T15:05:00-04:00,7.730,7.820,7.820,7.670,2100
2020-07-08T15:15:00-04:00,7.770,7.770,7.770,7.770,400
2020-07-08T15:20:00-04:00,7.720,7.810,7.810,7.720,1800
2020-07-08T15:25:00-04:00,7.880,7.970,7.970,7.860,2200
2020-07-08T15:30:00-04:00,7.930,7.890,7.930,7.890,850
2020-07-08T15:35:00-04:00,7.890,7.870,7.890,7.870,213
2020-07-08T15:40:00-04:00,7.880,7.880,7.880,7.880,100
2020-07-08T15:45:00-04:00,7.880,7.830,7.880,7.830,716
2020-07-08T15:50:00-04:00,7.920,7.930,7.950,7.840,3200
2020-07-08T15:55:00-04:00,7.920,7.910,7.970,7.910,639
2020-07-09T09:15:00-04:00,7.270,7.470,7.470,7.270,320
2020-07-09T09:30:00-04:00,7.680,7.720,7.800,7.580,1415
2020-07-09T09:35:00-04:00,7.610,7.640,7.640,7.600,500
2020-07-09T09:40:00-04:00,7.540,7.490,7.540,7.490,300
2020-07-09T09:45:00-04:00,7.350,7.480,7.500,7.350,962
2020-07-09T09:55:00-04:00,7.570,7.700,7.700,7.570,298
