timestamp,open,close,high,low,volume
2020-07-10T09:55:00-04:00,1.070,1.075,1.075,1.070,932
2020-07-10T10:00:00-04:00,1.090,1.085,1.090,1.070,1650
2020-07-10T10:05:00-04:00,1.090,1.065,1.090,1.065,3653
2020-07-10T10:10:00-04:00,1.060,1.070,1.070,1.060,1236
2020-07-10T10:15:00-04:00,1.060,1.060,1.060,1.060,100
2020-07-10T10:20:00-04:00,1.060,1.060,1.060,1.050,14592
2020-07-10T10:25:00-04:00,1.070,1.070,1.070,1.070,200
2020-07-10T10:30:00-04:00,1.060,1.030,1.060,1.030,4804
2020-07-10T10:45:00-04:00,1.020,1.020,1.020,1.020,600
2020-07-10T10:50:00-04:00,1.020,1.020,1.020,1.020,900
2020-07-10T10:55:00-04:00,1.020,1.040,1.040,1.020,4450
2020-07-10T11:25:00-04:00,1.050,1.050,1.050,1.050,200
2020-07-10T11:40:00-04:00,1.060,1.060,1.060,1.060,400
2020-07-10T11:45:00-04:00,1.055,1.055,1.055,1.055,100
2020-07-10T12:00:00-04:00,1.050,1.050,1.050,1.050,3577
2020-07-10T12:50:00-04:00,1.035,1.030,1.035,1.030,449
2020-07-10T13:15:00-04:00,1.030,1.030,1.030,1.030,174
2020-07-10T14:20:00-04:00,1.030,1.030,1.030,1.030,143
2020-07-10T15:35:00-04:00,1.010,1.010,1.010,1.000,2800
2020-07-10T15:45:00-04:00,1.005,1.005,1.005,1.005,677
2020-07-10T15:55:00-04:00,1.000,1.000,1.000,1.000,180
2020-07-13T08:00:00-04:00,1.370,1.370,1.370,1.370,100
2020-07-13T08:10:00-04:00,1.330,1.330,1.330,1.330,4400
2020-07-13T08:30:00-04:00,1.340,1.340,1.340,1.340,200
2020-07-13T08:50:00-04:00,1.280,1.280,1.280,1.280,100
2020-07-13T09:00:00-04:00,1.290,1.290,1.290,1.290,100
2020-07-13T09:10:00-04:00,1.290,1.290,1.290,1.290,100
2020-07-13T09:25:00-04:00,1.290,1.290,1.290,1.290,900
2020-07-13T09:30:00-04:00,1.300,1.230,1.300,1.220,4113
2020-07-13T09:35:00-04:00,1.220,1.270,1.270,1.220,6145
2020-07-13T09:40:00-04:00,1.265,1.245,1.265,1.245,2802
2020-07-13T09:45:00-04:00,1.225,1.240,1.240,1.200,5470
2020-07-13T09:50:00-04:00,1.250,1.250,1.250,1.250,233
2020-07-13T09:55:00-04:00,1.280,1.280,1.280,1.260,3401
2020-07-13T10:00:00-04:00,1.255,1.245,1.255,1.245,350
2020-07-13T10:05:00-04:00,1.250,1.240,1.250,1.240,300
2020-07-13T10:10:00-04:00,1.200,1.200,1.200,1.200,1700
2020-07-13T10:15:00-04:00,1.190,1.200,1.210,1.190,1300
2020-07-13T10:20:00-04:00,1.220,1.220,1.220,1.220,100
2020-07-13T10:35:00-04:00,1.210,1.210,1.210,1.200,3300
2020-07-13T10:40:00-04:00,1.225,1.215,1.225,1.215,904
2020-07-13T10:45:00-04:00,1.215,1.205,1.215,1.200,5627
2020-07-13T10:50:00-04:00,1.205,1.205,1.205,1.205,128
2020-07-13T10:55:00-04:00,1.205,1.205,1.205,1.205,3850
2020-07-13T11:00:00-04:00,1.180,1.180,1.180,1.180,221
2020-07-13T11:05:00-04:00,1.180,1.180,1.180,1.180,100
2020-07-13T11:10:00-04:00,1.195,1.190,1.195,1.190,470
2020-07-13T11:15:00-04:00,1.185,1.185,1.185,1.185,355
2020-07-13T11:20:00-04:00,1.185,1.185,1.185,1.185,599
2020-07-13T11:35:00-04:00,1.200,1.200,1.200,1.200,250
2020-07-13T11:40:00-04:00,1.235,1.235,1.235,1.235,200
2020-07-13T11:45:00-04:00,1.235,1.235,1.235,1.235,300
2020-07-13T12:05:00-04:00,1.215,1.215,1.215,1.215,150
2020-07-13T12:10:00-04:00,1.215,1.215,1.215,1.215,150
2020-07-13T12:35:00-04:00,1.225,1.225,1.225,1.225,500
2020-07-13T12:40:00-04:00,1.250,1.260,1.260,1.250,260
2020-07-13T12:45:00-04:00,1.260,1.260,1.260,1.260,200
2020-07-13T12:55:00-04:00,1.250,1.260,1.260,1.250,4100
2020-07-13T13:10:00-04:00,1.250,1.265,1.265,1.250,2102
2020-07-13T13:15:00-04:00,1.255,1.270,1.270,1.255,752
2020-07-13T13:25:00-04:00,1.290,1.330,1.340,1.290,4000
2020-07-13T13:30:00-04:00,1.335,1.390,1.390,1.310,3950
2020-07-13T13:35:00-04:00,1.360,1.370,1.380,1.360,683
2020-07-13T13:40:00-04:00,1.340,1.350,1.350,1.340,400
2020-07-13T13:45:00-04:00,1.340,1.340,1.340,1.340,100
2020-07-13T13:55:00-04:00,1.340,1.310,1.340,1.310,605
2020-07-13T14:00:00-04:00,1.310,1.290,1.310,1.290,500
2020-07-13T14:05:00-04:00,1.315,1.340,1.340,1.315,9132
2020-07-13T14:10:00-04:00,1.360,1.350,1.360,1.350,350
2020-07-13T14:15:00-04:00,1.370,1.380,1.380,1.370,600
2020-07-13T14:20:00-04:00,1.370,1.340,1.370,1.340,1236
