timestamp,open,close,high,low,volume
2020-07-13 11:20:00-04:00,11.010,11.010,11.010,11.010,100
2020-07-13 11:35:00-04:00,11.000,11.000,11.000,11.000,600
2020-07-13 11:55:00-04:00,11.140,11.140,11.140,11.140,200
2020-07-13 12:35:00-04:00,11.030,11.030,11.030,11.030,191
2020-07-13 15:55:00-04:00,11.000,11.160,11.160,11.000,200
2020-07-14 09:30:00-04:00,10.610,10.580,10.610,10.580,300
2020-07-14 09:40:00-04:00,10.590,10.500,10.590,10.500,600
2020-07-14 11:05:00-04:00,10.650,10.580,10.650,10.580,2692
2020-07-14 11:10:00-04:00,10.630,10.630,10.630,10.630,100
2020-07-14 11:30:00-04:00,10.300,10.300,10.300,10.300,650
2020-07-14 11:55:00-04:00,10.295,10.295,10.295,10.295,200
2020-07-14 13:00:00-04:00,10.500,10.500,10.500,10.500,100
2020-07-15 10:40:00-04:00,10.080,10.080,10.080,10.080,100
2020-07-15 11:00:00-04:00,10.300,10.300,10.300,10.300,100
2020-07-15 11:10:00-04:00,10.205,10.205,10.205,10.205,300
2020-07-15 11:40:00-04:00,10.160,10.160,10.160,10.160,300
2020-07-15 11:45:00-04:00,10.160,10.170,10.170,10.160,400
2020-07-15 11:50:00-04:00,10.170,10.170,10.170,10.170,500
2020-07-15 11:55:00-04:00,10.170,10.170,10.170,10.170,500
2020-07-15 12:00:00-04:00,10.170,10.170,10.170,10.170,400
2020-07-15 12:05:00-04:00,10.180,10.200,10.200,10.180,500
2020-07-15 12:10:00-04:00,10.200,10.200,10.200,10.200,200
2020-07-15 12:15:00-04:00,10.160,10.160,10.160,10.160,200
2020-07-15 12:20:00-04:00,10.180,10.180,10.180,10.180,300
2020-07-15 12:25:00-04:00,10.180,10.180,10.180,10.180,400
2020-07-15 12:30:00-04:00,10.180,10.185,10.185,10.180,500
2020-07-15 12:35:00-04:00,10.180,10.185,10.185,10.180,600
2020-07-15 12:40:00-04:00,10.185,10.185,10.185,10.185,400
2020-07-15 12:45:00-04:00,10.175,10.120,10.175,10.120,400
2020-07-15 12:55:00-04:00,10.120,10.120,10.120,10.120,200
2020-07-15 13:15:00-04:00,10.040,10.040,10.040,10.040,100
2020-07-15 13:35:00-04:00,10.000,10.000,10.000,10.000,400
2020-07-15 13:40:00-04:00,10.000,10.000,10.000,10.000,500
2020-07-15 13:45:00-04:00,10.000,10.000,10.000,10.000,300
2020-07-15 14:40:00-04:00,10.000,10.000,10.000,10.000,200
2020-07-15 15:25:00-04:00,9.960,9.960,9.960,9.960,100
2020-07-15 15:35:00-04:00,9.970,9.970,9.970,9.970,100
2020-07-15 15:40:00-04:00,9.840,9.840,9.840,9.840,200
